,Reseñas,Target,Texto procesado
1102,arenoso,0,aren
1103,grotesco,0,grotesc
1104,cascarrabias,0,cascarrabi
1105,malhumorado,0,malhumor
1106,gruñido,0,gruñ
1107,resentimiento,0,resent
1108,rencores,0,rencor
1109,regañadientes,0,regañadient
1110,gruñón,0,gruñon
1111,culpadamente,0,culpad
1112,canal,0,canal
1113,cortar,0,cort
1114,tajos,0,taj
1115,regatear,0,regat
1116,cabello,0,cabell
1117,entusiasta,0,entusiast
1118,medias,0,medi
1119,cesto,0,cest
1120,obstaculizado,0,obstaculiz
1121,minusválido,0,minusval
1122,colgar,0,colg
1123,cuelga,0,cuelg
1124,al,0,al
1125,azar,0,azar
1126,desventurado,0,desventur
1127,arenga,0,areng
1128,albergando,0,alberg
1129,puertos,0,puert
1130,duro,0,dur
1131,línea,0,line
1132,político,0,polit
1133,bola,0,bol
1134,endurecer,0,endurec
1135,curtido,0,curt
1136,cabeza,0,cabez
1137,privación,0,privacion
1138,arpía,0,arpi
1139,bruja,0,bruj
1140,grada,0,grad
1141,prisa,0,pris
1142,precipitadamente,0,precipit
1143,apresurado,0,apresur
1144,odio,0,odi
1145,odioso,0,odios
1146,altivamente,0,altiv
1147,guarida,0,guar
1148,obsesionante,0,obsesion
1149,estragos,0,estrag
1150,halcón,0,halcon
1151,calina,0,calin
1152,brumoso,0,brumos
1153,rompecorazones,0,rompecorazon
1154,desgarradoramente,0,desgarrador
1155,pagano,0,pagan
1156,infierno,0,infiern
1157,un,0,un
1158,orador,0,orador
1159,cobertura,0,cobertur
1160,hedonista,0,hedon
1161,desatento,0,desatent
1162,fuerte,0,fuert
1163,hegemonismo,0,hegemon
1164,empeñado,0,empeñ
1165,gamberro,0,gamberr
1166,infiernos,0,infi
1167,indefenso,0,indefens
1168,impotente,0,impotent
1169,herejía,0,herej
1170,herético,0,heret
1171,feamente,0,feament
1172,caro,0,car
1173,impedir,0,imped
1174,silbido,0,silb
1175,siseó,0,sise
1176,acumular,0,acumul
1177,cojear,0,coj
1178,hueco,0,huec
1179,esperanza,0,esper
1180,horda,0,hord
1181,horrendo,0,horrend
1182,horripilante,0,horripil
1183,rehén,0,rehen
1184,semilleros,0,semiller
1185,exaltado,0,exalt
1186,invernáculo,0,invernacul
1187,mercachifle,0,mercachifl
1188,tararear,0,tarar
1189,húmedo,0,humed
1190,zumbador,0,zumbador
1191,hiriente,0,hirient
1192,lastimando,0,lastim
1193,estafador,0,estaf
1194,hipocresía,0,hipocres
1195,hipócrita,0,hipocrit
1196,histeria,0,histeri
1197,histérico,0,hister
1198,idioteces,0,idiotec
1199,idiotez,0,idiotez
1200,ocioso,0,ocios
1201,innoble,0,innobl
1202,ignominioso,0,ignomini
1203,ignorancia,0,ignor
1204,desaconsejado,0,desaconsej
1205,concebido,0,conceb
1206,definido,0,defin
1207,diseñado,0,diseñ
1208,desafortunado,0,desafortun
1209,formado,0,form
1210,maleducado,0,maleduc
1211,maltratado,0,maltrat
1212,uso,0,uso
1213,usado,0,usad
1214,ilegal,0,ilegal
1215,ilegítimo,0,ilegitim
1216,ilícito,0,ilicit
1217,analfabeto,0,analfabet
1218,ilógico,0,ilog
1219,espejismo,0,espej
1220,ilusiones,0,ilusion
1221,ilusorio,0,ilusori
1222,desequilibrio,0,desequilibri
1223,inmaterial,0,inmaterial
1224,inmaduro,0,inmadur
1225,inminencia,0,inminent
1226,inmovilizado,0,inmoviliz
1227,inmoderado,0,inmoder
1228,inmodesto,0,inmodest
1229,inmoral,0,inmoral
1230,inamovible,0,inamov
1231,impaciencia,0,impacient
1232,procesar,0,proces
1233,impedimento,0,impediment
1234,impenitente,0,impenitent
1235,imperfecto,0,imperfect
1236,imperfección,0,imperfeccion
1237,imperialista,0,imperial
1238,imperioso,0,imperi
1239,inadmisible,0,inadmis
1240,impersonal,0,impersonal
1241,impertinente,0,impertinent
1242,impetuoso,0,impetu
1243,impiedad,0,impied
1244,afectar,0,afect
1245,impío,0,impi
1246,implacable,0,implac
1247,increíble,0,increibl
1248,implicar,0,implic
1249,impolítico,0,impolit
1250,importuno,0,importun
1251,impostores,0,impostor
1252,imponente,0,imponent
1253,imposición,0,imposicion
1254,imposible,0,impos
1255,imposibilidad,0,imposibil
1256,empobrecer,0,empobrec
1257,práctico,0,practic
1258,imprecar,0,imprec
1259,impreciso,0,imprecis
1260,imprecisión,0,imprecision
1261,encarcelar,0,encarcel
1262,prisión,0,prision
1263,improbabilidad,0,improb
1264,incorrecto,0,incorrect
1265,impropiedad,0,impropied
1266,imprudencia,0,imprudent
1267,impudente,0,impudent
1268,impugnar,0,impugn
1269,impulsivo,0,impuls
1270,impunidad,0,impun
1271,impuro,0,impur
1272,impureza,0,impurez
1273,incapacidad,0,incapac
1274,inexactitudes,0,inexactitud
1275,inexactamente,0,inexact
1276,acción,0,accion
1277,inactivo,0,inact
1278,insuficiencia,0,insuficient
1279,inadecuado,0,inadecu
1280,inadvertido,0,inadvert
1281,inadvertidamente,0,inadvertid
1282,inane,0,inan
1283,inapropiado,0,inapropi
1284,inepto,0,inept
1285,ineptitud,0,ineptitud
1286,inarticulado,0,inarticul
1287,inatento,0,inatent
1288,inaudible,0,inaud
1289,incapaz,0,incapaz
1290,incauto,0,incaut
1291,incendiario,0,incendiari
1292,incienso,0,inciens
1293,incesante,0,inces
1294,incitar,0,incit
1295,incivilidad,0,incivil
1296,inclemente,0,inclement
1297,incoherencia,0,incoherent
1298,inconmensurable,0,inconmensur
1299,incomparable,0,incompar
1300,incompatibilidad,0,incompatibil
1301,incompatible,0,incompat
1302,incompetencia,0,incompetent
1303,incompleto,0,incomplet
1304,incumplidor,0,incumplidor
1305,incomprensible,0,incomprens
1306,incomprensión,0,incomprension
1307,inconcebible,0,inconceb
1308,incongruente,0,incongruent
1309,inconsecuente,0,inconsecuent
1310,desconsiderado,0,desconsider
1311,inconsistencia,0,inconsistent
1312,inconsolable,0,inconsol
1313,inconstante,0,inconst
1314,incorregible,0,incorreg
1315,inculcar,0,inculc
1316,indecencia,0,indecent
1317,indecisión,0,indecision
1318,indeciso,0,indecis
1319,indecoro,0,indecor
1320,indefendible,0,indefend
1321,delicado,0,delic
1322,indeterminable,0,indetermin
1323,indignado,0,indign
1324,indiscernible,0,indiscern
1325,indiscreto,0,indiscret
1326,indiscreción,0,indiscrecion
1327,indistinto,0,indistint
1328,indiscriminadamente,0,indiscrimin
1329,indistinguible,0,indistingu
1330,adoctrinar,0,adoctrin
1331,indolente,0,indolent
1332,complacer,0,complac
1333,ineficaz,0,ineficaz
1334,inoperancia,0,inoper
1335,ineficacia,0,ineficaci
1336,ineficiente,0,ineficient
1337,elegancia,0,eleg
1338,inelegible,0,ineleg
1339,ineludible,0,inelud
1340,desigualdades,0,desigualdad
1341,desigualdad,0,desiguald
1342,injusto,0,injust
1343,inequidades,0,inequ
1344,esencial,0,esencial
1345,inevitable,0,inevit
1346,inexcusable,0,inexcus
1347,inexorable,0,inexor
1348,inexperiencia,0,inexperient
1349,inexperto,0,inexpert
1350,inexpiable,0,inexpi
1351,inexplicable,0,inexplic
1352,inextricable,0,inextric
1353,infame,0,infam
1354,infamia,0,infami
1355,infectado,0,infect
1356,infección,0,infeccion
1357,inferior,0,inferior
1358,infernal,0,infernal
1359,infestar,0,infest
1360,infiel,0,infiel
1361,infiltrado,0,infiltr
1362,enfermizo,0,enfermiz
1363,inflamatorio,0,inflamatori
1364,inflado,0,inflad
1365,inflacionista,0,inflacion
1366,inflexible,0,inflex
1367,infligir,0,inflig
1368,infracción,0,infraccion
1369,ingrato,0,ingrat
1370,ingratitud,0,ingratitud
1371,inhibir,0,inhib
1372,inhibición,0,inhibicion
1373,inhóspito,0,inhospit
1374,hospitalidad,0,hospital
1375,inhumano,0,inhuman
1376,inicuo,0,inicu
1377,iniquidad,0,iniqu
1378,juicioso,0,juicios
1379,lesionar,0,lesion
1380,injusticia,0,injustici
1381,insinuación,0,insinu
1382,inoportuno,0,inoportun
1383,desmesuradamente,0,desmesur
1384,insano,0,insan
1385,insaciable,0,insaci
1386,inseguro,0,insegur
1387,insensible,0,insens
1388,insensibilidad,0,insensibil
1389,insidioso,0,insidi
1390,insignificancia,0,insignif
1391,insignificantemente,0,insignific
1392,insincero,0,insincer
1393,insociable,0,insoci
1394,insolencia,0,insolent
1395,insolvente,0,insolvent
1396,despreocupación,0,despreocup
1397,inestabilidad,0,inest
1398,instigar,0,instig
1399,insubordinado,0,insubordin
1400,insubstancial,0,insubstancial
1401,insustancialmente,0,insustancial
1402,insufrible,0,insufr
1403,insular,0,insul
1404,insoportable,0,insoport
1405,insuperable,0,insuper
1406,insurrección,0,insurreccion
1407,interferir,0,interfer
1408,interfiere,0,interfier
1409,interferencia,0,interferent
1410,intermitente,0,intermitent
1411,interrupción,0,interrupcion
1412,intolerable,0,intoler
1413,intoxicar,0,intoxic
1414,intratable,0,intrat
1415,intrusión,0,intrusion
1416,intruso,0,intrus
1417,inundar,0,inund
1418,invasor,0,invasor
1419,inválido,0,inval
1420,invalidar,0,invalid
1421,invalidez,0,invalidez
1422,invectiva,0,invect
1423,seducir,0,seduc
1424,envisiosamente,0,envisi
1425,invisible,0,invis
1426,involuntariamente,0,involuntari
1427,irascible,0,irasc
1428,airado,0,air
1429,airadamente,0,airad
1430,irónico,0,iron
1431,irregularidad,0,irregular
1432,irracional,0,irracional
1433,irreconciliable,0,irreconcili
1434,irrecuperable,0,irrecuper
1435,irredimible,0,irredim
1436,remedio,0,remedi
1437,irreformable,0,irreform
1438,irregular,0,irregul
1439,irrelevancia,0,irrelev
1440,irreparable,0,irrepar
1441,irremplazable,0,irremplaz
1442,irreprimible,0,irreprim
1443,irresoluto,0,irresolut
1444,irresoluble,0,irresolubl
1445,irrefutable,0,irrefut
1446,irreversible,0,irrevers
1447,aislar,0,aisl
1448,aislamiento,0,aislamient
1449,picor,0,picor
1450,produce,0,produc
1451,hastiado,0,hasti
1452,dentado,0,dent
1453,mermelada,0,mermel
1454,ictérico,0,icter
1455,celoso,0,celos
1456,celosamente,0,cel
1457,abucheos,0,abuche
1458,espasmódico,0,espasmod
1459,estar,0,estar
1460,nervios,0,nervi
1461,matar,0,mat
1462,trabajo,0,trabaj
1463,desempleado,0,desempl
1464,bufón,0,bufon
1465,sacudida,0,sacud
1466,vibración,0,vibracion
1467,temblor,0,temblor
1468,asustadizo,0,asustadiz
1469,drogadicto,0,drogadict
1470,depósito,0,deposit
1471,chatarra,0,chatarr
1472,sobresale,0,sobresal
1473,asesinato,0,asesinat
1474,aguafiestas,0,aguafiest
1475,bribón,0,bribon
1476,cuchillo,0,cuchill
1477,anudado,0,anud
1478,chiflado,0,chifl
1479,lánguido,0,langu
1480,lacayo,0,lacay
1481,carente,0,carent
1482,deslucido,0,desluc
1483,carece,0,carec
1484,lacónico,0,lacon
1485,rezagado,0,rezag
1486,despedido,0,desped
1487,embutido,0,embut
1488,incapacitado,0,incapacit
1489,languidecer,0,languidec
1490,languidez,0,languidez
1491,lánguidamente,0,languid
1492,larguirucho,0,larguiruch
1493,lapso,0,laps
1494,transcurrido,0,transcurr
1495,lascivo,0,lasciv
1496,último,0,ultim
1497,recurso,0,recurs
1498,latencia,0,latenci
1499,hazmerreír,0,hazmerreir
1500,transgresor,0,transgresor
1501,violar,0,viol
1502,la,0,la
1503,ley,0,ley
1504,dejar,0,dej
1505,despido,0,desp
1506,feliz,0,feliz
1507,agujereado,0,agujer
1508,hombre,0,hombr
1509,lascivia,0,lascivi
1510,sanguijuela,0,sanguijuel
1511,sospechoso,0,sospech
1512,izquierda,0,izquierd
1513,limón,0,limon
1514,largo,0,larg
1515,menos,0,men
1516,desarrollado,0,desarroll
1517,conocido,0,conoc
1518,letal,0,letal
1519,letárgico,0,letarg
1520,licencioso,0,licenci
1521,mintió,0,mint
1522,potencialmente,0,potencial
1523,vida,0,vid
1524,límite,0,limit
1525,litigioso,0,litigi
1526,lívido,0,liv
1527,lívidamente,0,livid
1528,dispuesto,0,dispuest
1529,tiempo,0,tiemp
1530,prolijo,0,prolij
1531,nostalgia,0,nostalgi
1532,escapatoria,0,escapatori
1533,lagunas,0,lagun
1534,suelto,0,suelt
1535,botín,0,botin
1536,perdedor,0,perdedor
1537,pierde,0,pierd
1538,ruidoso,0,ruidos
1539,malísimo,0,malisim
1540,Desamor,0,desamor
1541,amor,0,amor
1542,baja,0,baj
1543,calificación,0,calif
1544,humilde,0,humild
1545,lúgubre,0,lugubr
1546,tibio,0,tibi
1547,aterronado,0,aterron
1548,lunático,0,lunat
1549,estacada,0,estac
1550,señuelo,0,señuel
1551,Acechar,0,acech
1552,alfombrilla,0,alfombrill
1553,ratón,0,raton
1554,acostado,0,acost
1555,macabro,0,macabr
1556,enloquecedor,0,enloquecedor
1557,modo,0,mod
1558,rubia,0,rubi
1559,inadaptado,0,inadapt
1560,malcontento,0,malcontent
1561,malevolencia,0,malevolent
1562,malicia,0,malici
1563,maligno,0,malign
1564,maloliente,0,malolient
1565,trato,0,trat
1566,mutilar,0,mutil
1567,destrozado,0,destroz
1568,maníaco,0,maniac
1569,marginal,0,marginal
1570,ligeramente,0,liger
1571,martirio,0,martiri
1572,machacado,0,machac
1573,masacre,0,masacr
1574,empalagoso,0,empalag
1575,sensiblería,0,sensibl
1576,pobre,0,pobr
1577,sentido,0,sent
1578,mezquindad,0,mezquind
1579,mediocre,0,mediocr
1580,melodramático,0,melodramat
1581,fusión,0,fusion
1582,reactor,0,reactor
1583,mendaz,0,mendaz
1584,mendacidad,0,mendac
1585,servil,0,servil
1586,despiadado,0,despiad
1587,piedad,0,pied
1588,lío,0,lio
1589,líos,0,lios
1590,enano,0,enan
1591,militancia,0,milit
1592,pensar,0,pens
1593,fango,0,fang
1594,desalinear,0,desalin
1595,desalinea,0,desaline
1596,comprender,0,comprend
1597,convenir,0,conven
1598,comportamiento,0,comport
1599,portarse,0,port
1600,calcular,0,calcul
1601,diverso,0,divers
1602,travesura,0,travesur
1603,dañoso,0,daños
1604,conceptos,0,concept
1605,sinvergüenza,0,sinvergüenz
1606,miseria,0,miseri
1607,recelo,0,recel
1608,dirección,0,direccion
1609,aconsejar,0,aconsej
1610,manejar,0,manej
1611,percance,0,percanc
1612,informar,0,inform
1613,interpretar,0,interpret
1614,juzgar,0,juzg
1615,administrar,0,administr
1616,pronunciar,0,pronunci
1617,leer,0,leer
1618,malinterpretar,0,malinterpret
1619,tergiversación,0,tergivers
1620,declaración,0,declar
1621,niebla,0,niebl
1622,mistificado,0,mistific
1623,amante,0,amant
1624,entender,0,entend
1625,malentendido,0,malentend
1626,incomprendido,0,incomprend
1627,gemido,0,gem
1628,mofa,0,mof
1629,temperamental,0,temperamental
1630,mórbido,0,morb
1631,mortificado,0,mortific
1632,inmóvil,0,inmovil
1633,abigarrado,0,abigarr
1634,doliente,0,dolient
1635,fangoso,0,fangos
1636,vilipendio,0,vilipendi
1637,testarudo,0,testarud
1638,mundano,0,mundan
1639,turbio,0,turbi
1640,flexionando,0,flexion
1641,los,0,los
1642,músculos,0,muscul
1643,pulposo,0,pulpos
1644,misterioso,0,misteri
1645,mito,0,mit
1646,rocín,0,rocin
1647,persistente,0,persistent
1648,ingenuo,0,ingenu
1649,groseramente,0,groser
1650,travieso,0,travies
1651,náuseas,0,naus
1652,nauseabundo,0,nauseabund
1653,nebuloso,0,nebul
1654,innecesario,0,innecesari
1655,necesitado,0,necesit
1656,vil,0,vil
1657,nefastamente,0,nefast
1658,negativo,0,negat
1659,negligencia,0,negligent
1660,justicia,0,justici
1661,nepotismo,0,nepot
1662,ortiga,0,ortig
1663,neurótico,0,neurot
1664,pesadilla,0,pesadill
1665,quisquilloso,0,quisquill
1666,ruido,0,ruid
1667,inexistente,0,inexistent
1668,responde,0,respond
1669,disparates,0,disparat
1670,curioso,0,curios
1671,notoriedad,0,notoried
1672,nocivo,0,nociv
1673,entumecido,0,entumec
1674,obeso,0,obes
1675,objeción,0,objecion
1676,oblicuo,0,oblicu
1677,obliterar,0,obliter
1678,obsceno,0,obscen
1679,obsesivamente,0,obses
1680,obsoleto,0,obsolet
1681,obstrucción,0,obstruccion
1682,obtuso,0,obtus
1683,ocluir,0,oclu
1684,impar,0,impar
1685,rarezas,0,rarez
1686,olor,0,olor
1687,ofensa,0,ofens
1688,oficioso,0,ofici
1689,ominoso,0,omin
1690,omisión,0,omision
1691,omitir,0,omit
1692,Unilateral,0,unilateral
1693,oneroso,0,oner
1694,embate,0,embat
1695,oportunista,0,oportun
1696,oponerse,0,opon
1697,oposición,0,oposicion
1698,oprimir,0,oprim
1699,opresión,0,opresion
1700,opresivo,0,opres
1701,atmósfera,0,atmosfer
1702,opresores,0,opresor
1703,prueba,0,prueb
1704,huérfano,0,huerfan
1705,ostracismo,0,ostrac
1706,explosión,0,explosion
1707,arrebatos,0,arrebat
1708,paria,0,pari
1709,grito,0,grit
1710,proscrito,0,proscrit
1711,ultrajes,0,ultraj
1712,forastero,0,foraster
1713,sobreactuado,0,sobreactu
1714,sobre,0,sobr
1715,balance,0,balanc
1716,sobrevalorado,0,sobrevalor
1717,activado,0,activ
1718,equilibrio,0,equilibri
1719,marchito,0,marchit
1720,enfatizar,0,enfatiz
1721,demasiado,0,demasi
1722,sobrecalentar,0,sobrecalent
1723,sobrecargado,0,sobrecarg
1724,pasar,0,pas
1725,alto,0,alto
1726,pagado,0,pag
1727,extralimitarse,0,extralimit
1728,eclipsar,0,eclips
1729,vigilancia,0,vigil
1730,simplificación,0,simplif
1731,simplificado,0,simplific
1732,grande,0,grand
1733,derrocamiento,0,derroc
1734,anular,0,anul
1735,abrumar,0,abrum
1736,abrumadoramente,0,abrumador
1737,penosamente,0,pen
1738,esfuerzos,0,esfuerz
1739,palidece,0,palidec
1740,pan,0,pan
1741,pandemonio,0,pandemoni
1742,alcahuete,0,alcahuet
1743,complaciente,0,complacient
1744,proxenetas,0,proxenet
1745,pánico,0,panic
1746,paradójico,0,paradoj
1747,paralizar,0,paraliz
1748,paranoia,0,paranoi
1749,paranoico,0,paran
1750,parásito,0,parasit
1751,parodia,0,parodi
1752,partidista,0,partid
1753,partisanos,0,partisan
1754,pasivo,0,pasiv
1755,patético,0,patet
1756,patrocinar,0,patrocin
1757,venganza,0,venganz
1758,peculiar,0,peculi
1759,particularmente,0,particular
1760,pedante,0,pedant
1761,pelado,0,pel
1762,humor,0,humor
1763,penalizar,0,penaliz
1764,multa,0,mult
1765,pérfido,0,perf
1766,superficial,0,superficial
1767,perecer,0,perec
1768,pernicioso,0,pernici
1769,perseguir,0,persegu
1770,persecución,0,persecu
1771,pertinaz,0,pertinaz
1772,pertinacia,0,pertinaci
1773,penetrante,0,penetr
1774,perverso,0,pervers
1775,perversión,0,perversion
1776,pervertido,0,pervert
1777,pestífero,0,pestifer
1778,petrificado,0,petrific
1779,pequeño,0,pequeñ
1780,fobia,0,fobi
1781,fóbico,0,fobic
1782,piquete,0,piquet
1783,pillaje,0,pillaj
1784,picota,0,picot
1785,espinilla,0,espinill
1786,pellizco,0,pellizc
1787,piqué,0,piqu
1788,plagiar,0,plagi
1789,Plaga,0,plag
1790,pegajoso,0,pegaj
1791,juguete,0,juguet
1792,petición,0,peticion
1793,súplicas,0,suplic
1794,plebeyo,0,plebey
1795,situación,0,situacion
1796,trama,0,tram
1797,trazadores,0,trazador
1798,táctica,0,tactic
1799,saquear,0,saqu
1800,veneno,0,venen
1801,lento,0,lent
1802,diminuto,0,diminut
1803,polarización,0,polariz
1804,polemizar,0,polemiz
1805,pomposo,0,pompos
1806,postura,0,postur
1807,abadejo,0,abadej
1808,pobreza,0,pobrez
1809,parlotear,0,parlot
1810,parloteo,0,parlote
1811,precario,0,precari
1812,depredador,0,depred
1813,Predicamento,0,predicament
1814,prejuzgar,0,prejuzg
1815,prejuicios,0,prejuici
1816,premeditado,0,premedit
1817,presuntuoso,0,presuntu
1818,pretensión,0,pretension
1819,pretencioso,0,pretenci
1820,prevaricar,0,prevaric
1821,pinchazo,0,pinchaz
1822,picazón,0,picazon
1823,espinas,0,espin
1824,orgulloso,0,orgull
1825,primitivo,0,primit
1826,prisionero,0,prisioner
1827,problemático,0,problemat
1828,aplazar,0,aplaz
1829,procrastina,0,procrastin
1830,dilación,0,dilacion
1831,prohibitivo,0,prohibit
1832,propaganda,0,propagand
1833,propiedad,0,propied
1834,enjuiciar,0,enjuici
1835,protesta,0,protest
1836,prolongado,0,prolong
1837,palanca,0,palanc
1838,pugnazmente,0,pugnaz
1839,pugnacidad,0,pugnac
1840,puñetazo,0,puñetaz
1841,punitivo,0,punit
1842,punk,0,punk
1843,escuchimizado,0,escuchimiz
1844,marioneta,0,marionet
1845,curandero,0,curander
1846,escrúpulo,0,escrupul
1847,pelea,0,pele
1848,pendenciero,0,pendencier
1849,peleón,0,peleon
1850,raro,0,rar
1851,sutileza,0,sutilez
1852,rabioso,0,rabios
1853,racismo,0,racism
1854,racista,0,racist
1855,picante,0,picant
1856,radical,0,radical
1857,radicalización,0,radicaliz
1858,rabia,0,rabi
1859,harapiento,0,harapient
1860,carril,0,carril
1861,rastrillado,0,rastrill
1862,alboroto,0,alborot
1863,desenfrenado,0,desenfren
1864,destartalado,0,destartal
1865,despotricar,0,despotric
1866,peroratas,0,perorat
1867,violación,0,violacion
1868,traqueteo,0,traquete
1869,sonajas,0,sonaj
1870,reaccionario,0,reaccionari
1871,rebelde,0,rebeld
1872,reprensión,0,reprension
1873,recalcitrante,0,recalcitr
1874,renunciar,0,renunci
1875,recesivo,0,reces
1876,aturdidamente,0,aturdid
1877,retroceso,0,retroces
1878,redundancia,0,redund
1879,regreso,0,regres
1880,regresión,0,regresion
1881,arrepentido,0,arrepent
1882,recaída,0,recaid
1883,reluctancia,0,reluct
1884,reacio,0,reaci
1885,gana,0,gan
1886,remordimiento,0,remord
1887,repeler,0,repel
1888,repetitivo,0,repetit
1889,reprensible,0,reprens
1890,represivo,0,repres
1891,reprimir,0,reprim
1892,represión,0,represion
1893,reprimenda,0,reprimend
1894,reprobación,0,reprob
1895,repulsando,0,repuls
1896,resignación,0,resign
1897,resistencia,0,resistent
1898,inquietud,0,inquietud
1899,restringir,0,restring
1900,restricción,0,restriccion
1901,restrictivo,0,restrict
1902,resurgente,0,resurgent
1903,tomar,0,tom
1904,represalias,0,represali
1905,vengativo,0,vengat
1906,retardar,0,retard
1907,reticente,0,reticent
1908,retraer,0,retr
1909,revertir,0,revert
1910,injuriar,0,injuri
1911,revocar,0,revoc
1912,revuelta,0,revuelt
1913,revulsivo,0,revuls
1914,extasiarse,0,extasi
1915,retórica,0,retor
1916,abundante,0,abund
1917,rígido,0,rig
1918,rigidez,0,rigidez
1919,sacar,0,sac
1920,quicio,0,quici
1921,arrancar,0,arranc
1922,rasgado,0,rasg
1923,riesgo,0,riesg
1924,arriesgado,0,arriesg
1925,rival,0,rival
1926,barricadas,0,barric
1927,rocoso,0,rocos
1928,pícaro,0,picar
1929,montaña,0,montañ
1930,rusa,0,rus
1931,putrefacción,0,putrefaccion
1932,podrido,0,podr
1933,áspero,0,asper
1934,reparable,0,repar
1935,ruda,0,rud
1936,rufián,0,rufian
1937,volante,0,volant
1938,ruinoso,0,ruinos
1939,retumbar,0,retumb
1940,rumor,0,rumor
1941,estado,0,estad
1942,oxido,0,oxid
1943,rodera,0,roder
1944,surcos,0,surc
1945,sabotaje,0,sabotaj
1946,sacrificado,0,sacrific
1947,entristecer,0,entristec
1948,hundimiento,0,hundimient
1949,hundido,0,hund
1950,salaz,0,salaz
1951,mojigato,0,mojigat
1952,savia,0,savi
1953,sarcasmo,0,sarcasm
1954,sarcástico,0,sarcast
1955,sardónico,0,sardon
1956,hablar,0,habl
1957,satírico,0,satir
1958,satirizar,0,satiriz
1959,salvaje,0,salvaj
1960,escandalizar,0,escandaliz
1961,escaso,0,escas
1962,chivo,0,chiv
1963,expiatorio,0,expiatori
1964,cicatriz,0,cicatriz
1965,apenas,0,apen
1966,cicatrices,0,cicatric
1967,escéptico,0,escept
1968,azotar,0,azot
1969,revuelve,0,revuelv
1970,rasguño,0,rasguñ
1971,rayado,0,ray
1972,arañazos,0,arañaz
1973,chirriante,0,chirriant
1974,chillido,0,chill
1975,atornillado,0,atornill
1976,escoria,0,escori
1977,espumoso,0,espum
1978,segunda,0,segund
1979,clase,0,clas
1980,nivel,0,nivel
1981,reservado,0,reserv
1982,sedentario,0,sedentari
1983,hirviente,0,hirvient
1984,autogolpe,0,autogolp
1985,autocrítica,0,autocrit
1986,autodestructivo,0,autodestruct
1987,auto-humillación,0,auto-humill
1988,interés,0,interes
1989,propio,0,propi
1990,egoísmo,0,egoism
1991,senil,0,senil
1992,sensacionalista,0,sensacional
1993,gravedad,0,graved
1994,sermonear,0,sermon
1995,servidumbre,0,servidumbr
1996,preparar,0,prepar
1997,reveses,0,reves
1998,vago,0,vag
1999,sombreado,0,sombr
2000,desvergonzado,0,desvergonz
2001,desvergüenza,0,desvergüenz
2002,tiburón,0,tiburon
2003,transexual,0,transexual
2004,brillar,0,brill
2005,camisa,0,camis
2006,naufragio,0,naufragi
2007,eludir,0,elud
2008,gandul,0,gandul
2009,temblar,0,tembl
2010,impactante,0,impact
2011,pacotilla,0,pacotill
2012,efímero,0,efimer
2013,miope,0,miop
2014,musaraña,0,musarañ
2015,estridente,0,estrident
2016,tono,0,ton
2017,agudo,0,agud
2018,sudario,0,sudari
2019,envuelto,0,envuelt
2020,rehuir,0,rehu
2021,apartadero,0,apartader
2022,cerco,0,cerc
2023,simplista,0,simplist
2024,pecado,0,pec
2025,pecaminoso,0,pecamin
2026,lavabo,0,lavab
2027,esqueletos,0,esquelet
2028,escepticismo,0,esceptic
2029,flaco,0,flac
2030,esconderse,0,escond
2031,bofetada,0,bofet
2032,sacrificio,0,sacrifici
2033,esclavo,0,esclav
2034,limo,0,lim
2035,sudar,0,sud
2036,tinta,0,tint
2037,movimiento,0,movimient
2038,ralentizado,0,ralentiz
2039,despacio,0,despaci
2040,babosa,0,babos
2041,desplomado,0,desplom
2042,puta,0,put
2043,tortazo,0,tortaz
2044,bien,0,bien
2045,frotis,0,frotis
2046,oler,0,oler
2047,olido,0,olid
2048,oliendo,0,oliend
2049,huele,0,huel
2050,eperlano,0,eperlan
2051,fumar,0,fum
2052,cortina,0,cortin
2053,llama,0,llam
2054,latente,0,latent
2055,presumido,0,presum
2056,tizón,0,tizon
2057,tiznado,0,tizn
2058,engancharse,0,enganch
2059,trabas,0,trab
2060,furtivo,0,furtiv
2061,burlador,0,burlador
2062,desaire,0,desair
2063,jabonoso,0,jabon
2064,sollozo,0,solloz
2065,sobrio,0,sobri
2066,aleccionador,0,aleccion
2067,solemne,0,solemn
2068,solicitud,0,solicitud
2069,lo,0,lo
2070,siento,0,sient
2071,agrio,0,agri
2072,gastado,0,gast
2073,vomitado,0,vomit
2074,escupir,0,escup
2075,derramar,0,derram
2076,solterona,0,solteron
2077,despecho,0,despech
2078,salpicar,0,salpic
2079,división,0,division
2080,mimar,0,mim
2081,espectro,0,espectr
2082,escalofriantemente,0,escalofri
2083,alimentado,0,aliment
2084,cuchara,0,cuch
2085,esporádico,0,esporad
2086,chisporroteo,0,chisporrote
2087,común,0,comun
2088,riña,0,riñ
2089,malgastar,0,malgast
2090,squash,0,squash
2091,chirrido,0,chirr
2092,chirriador,0,chirriador
2093,puñalada,0,puñal
2094,estancado,0,estanc
2095,serio,0,seri
2096,puesto,0,puest
2097,establos,0,establ
2098,estampida,0,estamp
2099,parada,0,par
2100,sorprendentemente,0,sorprendent
2101,inanición,0,inanicion
2102,hambre,0,hambr
2103,estático,0,estat
2104,robar,0,rob
2105,escarpado,0,escarp
2106,hedor,0,hedor
2107,estereotipo,0,estereotip
2108,estofado,0,estof
